X,Y,VX,VY
1.475378759138220E+08,-3.023816540386717E+07,5.485175780274530E+00,2.907192331515622E+01
1.479903512115730E+08,-2.772220410268461E+07,4.988570299579456E+00,2.916649893941490E+01
1.483998659372799E+08,-2.519843901261684E+07,4.490751584141746E+00,2.925258170807232E+01
1.487663236314624E+08,-2.266759951599447E+07,3.991909046856686E+00,2.933027904446527E+01
1.490896428599357E+08,-2.013040429582432E+07,3.492198031521258E+00,2.939973060771413E+01
1.493697534429464E+08,-1.758755885816915E+07,2.991720450731375E+00,2.946109923255459E+01
1.496065910672365E+08,-1.503975438467985E+07,2.490508133792195E+00,2.951454885546985E+01
1.498000909247524E+08,-1.248766903635018E+07,1.988518682426166E+00,2.956021070031889E+01
1.499501818581308E+08,-9.931972375205690E+06,1.485652217970432E+00,2.959814716254144E+01
1.500567828828152E+08,-7.373332463557176E+06,9.817885263004900E-01,2.962832851260301E+01
1.501198033876374E+08,-4.812423968707161E+06,4.768322255657977E-01,2.965063397738637E+01
1.501391469451736E+08,-2.249935098272035E+06,-2.925154879715678E-02,2.966487643262480E+01
1.501147173521096E+08,3.134281958593015E+05,-5.364220843040969E-01,2.967083835437097E+01
1.500464250667964E+08,2.876941065838363E+06,-1.044567956864267E+00,2.966830445065433E+01
1.499341926643742E+08,5.439860961498605E+06,-1.553523221019183E+00,2.965708263787711E+01
1.497779587464984E+08,8.001430091098202E+06,-2.063085699386531E+00,2.963701280077359E+01
1.495776803965858E+08,1.056087824269341E+07,-2.573031795518524E+00,2.960796716202305E+01
1.493333345754753E+08,1.311742543942062E+07,-3.083126187226402E+00,2.956984673736301E+01
1.490449188790940E+08,1.567028424121303E+07,-3.593127131093639E+00,2.952257709554616E+01
1.487124519714432E+08,1.821866171445822E+07,-4.102788948128261E+00,2.946610507199319E+01
1.483359738689474E+08,2.076176117857908E+07,-4.611863199915827E+00,2.940039689562926E+01
1.479155461391313E+08,2.329878384470699E+07,-5.120099631824427E+00,2.932543748865643E+01
1.474512520059277E+08,2.582893042542036E+07,-5.627247442829911E+00,2.924123039891163E+01
1.469431963262087E+08,2.835140274582854E+07,-6.133056981186934E+00,2.914779781959690E+01
1.463915054086043E+08,3.086540534669278E+07,-6.637281646259001E+00,2.904518035194019E+01
1.457963266713783E+08,3.337014705350056E+07,-7.139679657499274E+00,2.893343647602405E+01
1.451578281626308E+08,3.586484249606888E+07,-7.640015451785764E+00,2.881264200095887E+01
1.444761979753759E+08,3.834871359612398E+07,-8.138060759567182E+00,2.868288995685232E+01
1.437516435686479E+08,4.082099108151242E+07,-8.633595816857254E+00,2.854429138073393E+01
1.429843909475266E+08,4.328091611503371E+07,-9.126411599632583E+00,2.839697717488987E+01
1.421746835628684E+08,4.572774211820027E+07,-9.616314295542658E+00,2.824110062336179E+01
1.413227806825140E+08,4.816073679581183E+07,-1.010313324448801E+01,2.807683919776762E+01
1.404289549016168E+08,5.057918419661660E+07,-1.058673290764577E+01,2.790439304670748E+01
1.394934884812940E+08,5.298238637056872E+07,-1.106702757588506E+01,2.772397652118191E+01
1.385166684455851E+08,5.536966386648279E+07,-1.154399435013963E+01,2.753579941543740E+01
1.374987809046252E+08,5.774035414329365E+07,-1.201767658981911E+01,2.734003789660707E+01
1.364401057968338E+08,6.009380723320518E+07,-1.248816968811871E+01,2.713680169493493E+01
1.353409137373077E+08,6.242937886679775E+07,-1.295558704612596E+01,2.692611063176957E+01
1.342014663777786E+08,6.474642246342152E+07,-1.342001524415817E+01,2.670789341813737E+01
1.330220204950462E+08,6.704428213911822E+07,-1.388147557815389E+01,2.648201172585550E+01
1.318028345734659E+08,6.932228855022261E+07,-1.433990633805525E+01,2.624829917830287E+01
1.305441758859401E+08,7.157975815572616E+07,-1.479516829945655E+01,2.600659889046657E+01
1.292463263803961E+08,7.381599520890138E+07,-1.524706495271667E+01,2.575678794524178E+01
1.279095866016077E+08,7.603029518691628E+07,-1.569536602306376E+01,2.549878652520439E+01
1.265342777393060E+08,7.822194848876607E+07,-1.613982647773466E+01,2.523255597465516E+01
1.251207423393073E+08,8.039024370290387E+07,-1.658019838949479E+01,2.495809169364607E+01
1.236693442758552E+08,8.253447020698459E+07,-1.701623647446161E+01,2.467541535152486E+01
1.221804684436739E+08,8.465392015821216E+07,-1.744769941906772E+01,2.438456880907320E+01
1.206545204399267E+08,8.674789006469473E+07,-1.787434910293667E+01,2.408561053220981E+01
1.190919263439620E+08,8.881568215138946E+07,-1.829594933467832E+01,2.377861435020845E+01
1.174931325871163E+08,9.085660569932574E+07,-1.871226516581087E+01,2.346366995757383E+01
1.158586058346020E+08,9.286997847561052E+07,-1.912306335476219E+01,2.314088437813635E+01
